,cpf,mercado,produto
95919,33446371850,Broa de Açúcar,maçã
48879,33635232890,Mes,pera
36817,31342477804,Broa de Açúcar,banana
78592,37891988897,Mes,pera
40804,38278086850,Plus,uva
5355,33826444876,Plus,uva
76057,37880918868,Mes,banana
36817,31342477804,Plus,banana
92369,31620324822,Broa de Açúcar,maçã
13595,39349746867,Mes,pera
18946,37211459840,Plus,pera
41092,35535533831,Plus,maçã
67435,30610304844,Mes,maçã
96182,32464372897,Broa de Açúcar,pera
2870,31966594887,Mes,uva
59678,37576241810,Broa de Açúcar,maçã
77344,38023399837,Broa de Açúcar,pera
77497,34620896845,Mes,pera
11872,30621866822,Plus,maçã
63945,32825286800,Mes,maçã
68337,35745115823,Broa de Açúcar,maçã
45007,31037723864,Mes,uva
52870,39248397867,Plus,banana
47315,39549708802,Plus,uva
47315,39549708802,Broa de Açúcar,uva
91663,36431803817,Plus,pera
38347,35113200891,Mes,maçã
74989,38405599878,Broa de Açúcar,pera
31273,32145200835,Broa de Açúcar,pera
41156,31795880805,Plus,maçã
61445,33392946826,Mes,pera
32602,39080508802,Broa de Açúcar,maçã
80832,32933350807,Plus,pera
16888,39844500877,Plus,pera
1736,34066997821,Broa de Açúcar,pera
16888,39844500877,Mes,uva
34447,32241633801,Plus,banana
78592,37891988897,Mes,maçã
75528,30403874807,Mes,maçã
18940,37660353802,Broa de Açúcar,maçã
6654,32657827861,Broa de Açúcar,banana
95846,31695687876,Mes,pera
29899,31567093876,Broa de Açúcar,pera
70736,30552640883,Mes,pera
51483,33461325872,Broa de Açúcar,maçã
75528,30403874807,Mes,pera
16888,39844500877,Mes,maçã
43118,30955837880,Broa de Açúcar,maçã
92341,31106185838,Broa de Açúcar,uva
89809,38085196816,Mes,banana
36413,30769095844,Plus,maçã
80876,30061162833,Plus,pera
95846,31695687876,Mes,uva
18567,39286103840,Broa de Açúcar,banana
89055,30932083862,Mes,uva
2870,31966594887,Mes,banana
58292,36094762819,Mes,banana
95300,37008873883,Broa de Açúcar,maçã
69189,38981208808,Broa de Açúcar,maçã
16888,39844500877,Plus,pera
37978,35618351803,Broa de Açúcar,pera
81659,34014253821,Plus,maçã
38929,32122083840,Mes,banana
70219,30328179868,Mes,uva
84524,36135911899,Broa de Açúcar,maçã
91663,36431803817,Mes,banana
3290,36734187853,Broa de Açúcar,banana
93205,34731338840,Mes,banana
94579,35094486853,Mes,maçã
16888,39844500877,Broa de Açúcar,banana
24881,37629570880,Mes,banana
59760,34765846822,Broa de Açúcar,maçã
34986,31756562857,Mes,banana
6654,32657827861,Broa de Açúcar,banana
48879,33635232890,Broa de Açúcar,maçã
98011,31824353880,Plus,maçã
4684,33110482886,Mes,uva
91663,36431803817,Broa de Açúcar,uva
59760,34765846822,Plus,banana
58292,36094762819,Broa de Açúcar,uva
32602,39080508802,Plus,uva
47315,39549708802,Plus,maçã
97169,39878222870,Broa de Açúcar,banana
64248,36158702803,Mes,maçã
1453,32698896825,Plus,uva
88133,32324073820,Plus,maçã
9595,39106522807,Broa de Açúcar,maçã
9595,39106522807,Broa de Açúcar,pera
80876,30061162833,Plus,banana
29195,33324127874,Plus,pera
12635,36682522894,Mes,pera
45007,31037723864,Broa de Açúcar,banana
4587,30617411867,Plus,banana
31273,32145200835,Mes,maçã
9956,39385543806,Mes,maçã
95846,31695687876,Plus,uva
14810,32836494808,Plus,maçã
84980,31914314891,Broa de Açúcar,pera
45007,31037723864,Plus,uva
44075,35645621840,Mes,banana
3290,36734187853,Broa de Açúcar,pera
26426,30478296835,Plus,maçã
41156,31795880805,Plus,maçã
59760,34765846822,Broa de Açúcar,maçã
75607,33304169806,Plus,maçã
14810,32836494808,Mes,maçã
74588,30228934850,Broa de Açúcar,banana
13161,32162287897,Broa de Açúcar,pera
96822,32116965802,Mes,maçã
8801,33325664822,Plus,banana
30404,38118937852,Mes,pera
57588,38232115874,Plus,uva
14810,32836494808,Plus,maçã
49191,37083083878,Broa de Açúcar,banana
92893,33793904881,Plus,uva
28035,35396027800,Mes,uva
23646,37483373881,Plus,uva
14810,32836494808,Broa de Açúcar,pera
9875,32206448807,Mes,maçã
9875,32206448807,Mes,banana
92362,32402738880,Plus,maçã
95919,33446371850,Plus,banana
47315,39549708802,Plus,pera
44944,38760611804,Broa de Açúcar,uva
51483,33461325872,Mes,uva
47497,34873296897,Mes,banana
45085,37860681862,Broa de Açúcar,maçã
67919,32474360816,Plus,banana
43112,30248659855,Plus,uva
1736,34066997821,Broa de Açúcar,maçã
97169,39878222870,Plus,maçã
38929,32122083840,Plus,maçã
4297,39179111831,Broa de Açúcar,pera
28035,35396027800,Plus,banana
78411,32858558868,Plus,uva
26426,30478296835,Mes,uva
2687,30966062850,Mes,banana
80876,30061162833,Plus,banana
67909,30462465870,Plus,pera
1453,32698896825,Broa de Açúcar,pera
37530,39655543870,Broa de Açúcar,uva
41156,31795880805,Mes,banana
95846,31695687876,Broa de Açúcar,uva
70219,30328179868,Broa de Açúcar,banana
38929,32122083840,Mes,banana
67909,30462465870,Plus,uva
77344,38023399837,Broa de Açúcar,pera
38929,32122083840,Mes,banana
59678,37576241810,Broa de Açúcar,maçã
93205,34731338840,Mes,banana
953,32255572850,Mes,uva
25376,38875632804,Mes,pera
35085,38452940866,Plus,banana
74916,32699967807,Plus,maçã
43112,30248659855,Mes,maçã
9956,39385543806,Plus,pera
58335,30892507802,Broa de Açúcar,pera
89809,38085196816,Broa de Açúcar,uva
83055,33463222892,Plus,uva
9875,32206448807,Mes,uva
11872,30621866822,Plus,banana
67909,30462465870,Broa de Açúcar,maçã
8801,33325664822,Mes,maçã
74916,32699967807,Plus,uva
24881,37629570880,Broa de Açúcar,maçã
41998,32447851820,Broa de Açúcar,maçã
31115,34526179809,Mes,maçã
36413,30769095844,Plus,banana
47315,39549708802,Broa de Açúcar,uva
47315,39549708802,Mes,pera
70219,30328179868,Plus,uva
21258,30749427892,Mes,uva
26549,39639925810,Mes,maçã
70898,31497443857,Broa de Açúcar,banana
25376,38875632804,Broa de Açúcar,maçã
80876,30061162833,Broa de Açúcar,banana
44944,38760611804,Broa de Açúcar,uva
24898,38016404855,Plus,maçã
4297,39179111831,Mes,maçã
58335,30892507802,Plus,maçã
11872,30621866822,Broa de Açúcar,maçã
81659,34014253821,Plus,uva
99279,32817575881,Plus,pera
9956,39385543806,Plus,pera
69584,31366147804,Plus,uva
84980,31914314891,Broa de Açúcar,pera
25376,38875632804,Mes,banana
13595,39349746867,Mes,banana
42417,38885995802,Plus,uva
41092,35535533831,Broa de Açúcar,maçã
18946,37211459840,Plus,banana
37978,35618351803,Plus,maçã
79387,33717499831,Mes,uva
59678,37576241810,Mes,banana
25386,31590098820,Broa de Açúcar,banana
90603,38922839821,Plus,maçã
12635,36682522894,Broa de Açúcar,banana
58292,36094762819,Plus,banana
80089,39656160800,Broa de Açúcar,banana
37909,31784022845,Broa de Açúcar,uva
99286,36772573870,Mes,uva
67006,31771576855,Broa de Açúcar,uva
58292,36094762819,Broa de Açúcar,maçã
52232,39956187828,Broa de Açúcar,uva
88709,38643677868,Broa de Açúcar,banana
47497,34873296897,Broa de Açúcar,uva
92341,31106185838,Broa de Açúcar,uva
89809,38085196816,Broa de Açúcar,uva
29195,33324127874,Plus,uva
67909,30462465870,Broa de Açúcar,banana
68059,37126598815,Plus,uva
96182,32464372897,Plus,banana
65299,31145103880,Mes,banana
18940,37660353802,Broa de Açúcar,banana
43867,36366758859,Broa de Açúcar,banana
89055,30932083862,Plus,pera
48879,33635232890,Broa de Açúcar,maçã
26426,30478296835,Plus,uva
75607,33304169806,Mes,maçã
35085,38452940866,Broa de Açúcar,maçã
29899,31567093876,Mes,maçã
67919,32474360816,Plus,maçã
92341,31106185838,Mes,maçã
75607,33304169806,Broa de Açúcar,pera
91336,33336928800,Plus,uva
89809,38085196816,Mes,banana
78592,37891988897,Plus,pera
89184,34414924804,Broa de Açúcar,maçã
63945,32825286800,Broa de Açúcar,banana
21002,35471853865,Plus,pera
85219,30696790807,Plus,uva
4327,33999128895,Broa de Açúcar,maçã
14810,32836494808,Mes,pera
98435,31612130844,Mes,maçã
87310,39092652865,Mes,maçã
61445,33392946826,Broa de Açúcar,banana
44075,35645621840,Broa de Açúcar,maçã
1736,34066997821,Plus,maçã
98435,31612130844,Plus,pera
75528,30403874807,Mes,maçã
74588,30228934850,Broa de Açúcar,pera
94458,35713381897,Plus,banana
78592,37891988897,Mes,banana
44247,34944588801,Mes,pera
44075,35645621840,Broa de Açúcar,banana
92341,31106185838,Broa de Açúcar,maçã
57588,38232115874,Plus,pera
98107,31797190873,Broa de Açúcar,banana
9239,38862226837,Broa de Açúcar,maçã
67435,30610304844,Mes,maçã
43118,30955837880,Plus,banana
41998,32447851820,Plus,banana
40804,38278086850,Mes,pera
61445,33392946826,Mes,uva
65713,32394632887,Broa de Açúcar,maçã
69189,38981208808,Broa de Açúcar,uva
5355,33826444876,Mes,uva
13595,39349746867,Broa de Açúcar,uva
67006,31771576855,Broa de Açúcar,banana
29899,31567093876,Mes,pera
32602,39080508802,Broa de Açúcar,pera
89184,34414924804,Broa de Açúcar,uva
91336,33336928800,Mes,pera
36817,31342477804,Plus,maçã
26426,30478296835,Broa de Açúcar,uva
22890,30270309810,Broa de Açúcar,maçã
32602,39080508802,Plus,pera
70219,30328179868,Mes,uva
38929,32122083840,Broa de Açúcar,pera
32906,35914511852,Broa de Açúcar,maçã
98173,33983357806,Mes,pera
68059,37126598815,Mes,banana
21001,39118478824,Plus,banana
21001,39118478824,Mes,pera
29899,31567093876,Mes,pera
98011,31824353880,Mes,pera
1736,34066997821,Plus,pera
96182,32464372897,Plus,uva
87806,30060398825,Plus,maçã
89809,38085196816,Plus,pera
70758,35378086825,Plus,banana
79460,36021575806,Broa de Açúcar,uva
10118,30494429801,Mes,pera
42417,38885995802,Plus,maçã
25386,31590098820,Broa de Açúcar,maçã
30404,38118937852,Mes,maçã
13595,39349746867,Broa de Açúcar,banana
21389,38471069881,Plus,uva
58335,30892507802,Plus,uva
49191,37083083878,Mes,uva
48879,33635232890,Mes,maçã
99279,32817575881,Mes,pera
65299,31145103880,Plus,pera
61445,33392946826,Plus,uva
40203,30673452824,Plus,pera
2870,31966594887,Broa de Açúcar,uva
98173,33983357806,Broa de Açúcar,banana
11872,30621866822,Broa de Açúcar,maçã
92893,33793904881,Mes,maçã
90282,39490165891,Broa de Açúcar,maçã
92341,31106185838,Broa de Açúcar,uva
80876,30061162833,Plus,maçã
13595,39349746867,Mes,maçã
93205,34731338840,Mes,banana
72394,32479421813,Plus,pera
91126,37540640880,Plus,pera
87806,30060398825,Plus,uva
99279,32817575881,Plus,maçã
59678,37576241810,Plus,uva
31115,34526179809,Broa de Açúcar,pera
67006,31771576855,Mes,maçã
91336,33336928800,Plus,uva
80876,30061162833,Broa de Açúcar,uva
98107,31797190873,Mes,banana
47315,39549708802,Plus,pera
42951,34413526880,Mes,pera
99286,36772573870,Broa de Açúcar,maçã
84980,31914314891,Mes,maçã
25376,38875632804,Plus,banana
92369,31620324822,Broa de Açúcar,maçã
92085,38617360801,Mes,pera
65713,32394632887,Broa de Açúcar,uva
15731,33887237889,Plus,pera
67909,30462465870,Broa de Açúcar,uva
67919,32474360816,Mes,banana
42839,32561579808,Broa de Açúcar,pera
79460,36021575806,Broa de Açúcar,maçã
74751,31037015860,Broa de Açúcar,pera
43519,34068772819,Mes,uva
4587,30617411867,Broa de Açúcar,pera
89809,38085196816,Broa de Açúcar,uva
87805,38886668805,Broa de Açúcar,uva
41092,35535533831,Plus,maçã
59760,34765846822,Broa de Açúcar,maçã
22857,36769458837,Broa de Açúcar,pera
92893,33793904881,Mes,uva
4327,33999128895,Plus,uva
37978,35618351803,Broa de Açúcar,maçã
41092,35535533831,Mes,pera
31273,32145200835,Plus,uva
40804,38278086850,Broa de Açúcar,uva
30404,38118937852,Plus,pera
24881,37629570880,Broa de Açúcar,uva
98435,31612130844,Mes,maçã
87310,39092652865,Broa de Açúcar,banana
81659,34014253821,Mes,uva
87806,30060398825,Broa de Açúcar,banana
98011,31824353880,Broa de Açúcar,banana
90402,32320910832,Broa de Açúcar,maçã
67435,30610304844,Plus,banana
36817,31342477804,Mes,pera
8801,33325664822,Broa de Açúcar,maçã
44247,34944588801,Plus,uva
44075,35645621840,Plus,uva
2870,31966594887,Plus,uva
80089,39656160800,Mes,maçã
67883,37049136859,Broa de Açúcar,uva
25376,38875632804,Broa de Açúcar,pera
56371,31742487874,Plus,maçã
61445,33392946826,Mes,pera
25376,38875632804,Mes,uva
63967,34608848860,Plus,maçã
44030,30263685802,Plus,uva
75607,33304169806,Plus,uva
92893,33793904881,Broa de Açúcar,maçã
32602,39080508802,Plus,maçã
47497,34873296897,Mes,pera
78761,39375061876,Mes,maçã
49191,37083083878,Broa de Açúcar,banana
40203,30673452824,Mes,pera
953,32255572850,Mes,pera
25386,31590098820,Broa de Açúcar,pera
42951,34413526880,Plus,pera
43112,30248659855,Plus,pera
9239,38862226837,Broa de Açúcar,banana
42951,34413526880,Broa de Açúcar,banana
8801,33325664822,Mes,pera
37909,31784022845,Broa de Açúcar,uva
92369,31620324822,Plus,maçã
31273,32145200835,Broa de Açúcar,maçã
52232,39956187828,Mes,pera
30404,38118937852,Broa de Açúcar,banana
98435,31612130844,Mes,uva
70219,30328179868,Plus,pera
13270,31938819888,Plus,maçã
92893,33793904881,Mes,maçã
91663,36431803817,Mes,maçã
65299,31145103880,Broa de Açúcar,pera
32602,39080508802,Broa de Açúcar,uva
41156,31795880805,Mes,uva
9956,39385543806,Plus,banana
86193,37822157884,Mes,banana
75607,33304169806,Mes,uva
59760,34765846822,Mes,uva
59760,34765846822,Broa de Açúcar,pera
26549,39639925810,Plus,maçã
16888,39844500877,Mes,maçã
74916,32699967807,Plus,pera
31115,34526179809,Broa de Açúcar,maçã
36413,30769095844,Broa de Açúcar,banana
42839,32561579808,Mes,pera
34447,32241633801,Plus,pera
95919,33446371850,Broa de Açúcar,banana
953,32255572850,Broa de Açúcar,uva
37530,39655543870,Mes,banana
90402,32320910832,Broa de Açúcar,banana
86193,37822157884,Broa de Açúcar,banana
47497,34873296897,Mes,pera
68337,35745115823,Plus,pera
97438,32300383802,Mes,pera
44247,34944588801,Mes,uva
76057,37880918868,Plus,pera
21389,38471069881,Mes,banana
68059,37126598815,Plus,pera
87806,30060398825,Mes,maçã
16158,32294129822,Mes,uva
67883,37049136859,Plus,pera
81659,34014253821,Mes,maçã
52870,39248397867,Plus,pera
95300,37008873883,Broa de Açúcar,maçã
41092,35535533831,Plus,pera
34447,32241633801,Plus,banana
5355,33826444876,Broa de Açúcar,banana
9875,32206448807,Broa de Açúcar,pera
57588,38232115874,Plus,uva
43867,36366758859,Plus,uva
41998,32447851820,Broa de Açúcar,uva
13595,39349746867,Mes,banana
80832,32933350807,Broa de Açúcar,pera
16158,32294129822,Broa de Açúcar,maçã
5355,33826444876,Mes,maçã
8801,33325664822,Plus,uva
59678,37576241810,Mes,maçã
78411,32858558868,Mes,pera
83055,33463222892,Broa de Açúcar,maçã
22857,36769458837,Plus,pera
12635,36682522894,Mes,uva
4327,33999128895,Plus,maçã
5355,33826444876,Mes,maçã
47377,32601669802,Mes,pera
40203,30673452824,Mes,maçã
9956,39385543806,Plus,uva
80832,32933350807,Broa de Açúcar,uva
56371,31742487874,Plus,banana
50385,34177725838,Mes,pera
41998,32447851820,Broa de Açúcar,uva
61445,33392946826,Plus,maçã
63945,32825286800,Mes,maçã
52232,39956187828,Plus,maçã
95846,31695687876,Plus,pera
67909,30462465870,Mes,uva
90603,38922839821,Plus,pera
30404,38118937852,Broa de Açúcar,maçã
1736,34066997821,Plus,maçã
67435,30610304844,Mes,uva
98107,31797190873,Broa de Açúcar,pera
58775,30083792813,Mes,maçã
16888,39844500877,Broa de Açúcar,banana
18946,37211459840,Broa de Açúcar,uva
37978,35618351803,Plus,pera
42417,38885995802,Plus,pera
95846,31695687876,Plus,uva
84980,31914314891,Mes,uva
76057,37880918868,Plus,maçã
21001,39118478824,Broa de Açúcar,pera
32906,35914511852,Mes,maçã
65299,31145103880,Plus,pera
37909,31784022845,Mes,banana
4327,33999128895,Plus,pera
67919,32474360816,Mes,maçã
94579,35094486853,Broa de Açúcar,banana
58335,30892507802,Plus,maçã
96182,32464372897,Plus,banana
12635,36682522894,Mes,uva
94458,35713381897,Mes,pera
25376,38875632804,Mes,uva
81896,38686654800,Broa de Açúcar,uva
67919,32474360816,Mes,maçã
25376,38875632804,Plus,banana
79460,36021575806,Mes,banana
44075,35645621840,Mes,maçã
1453,32698896825,Plus,pera
4297,39179111831,Mes,maçã
70898,31497443857,Mes,uva
63967,34608848860,Broa de Açúcar,maçã
88709,38643677868,Plus,maçã
47377,32601669802,Broa de Açúcar,uva
98011,31824353880,Plus,pera
86959,39675236833,Broa de Açúcar,maçã
93885,38766987822,Broa de Açúcar,maçã
42951,34413526880,Broa de Açúcar,pera
87806,30060398825,Mes,uva
41092,35535533831,Plus,maçã
15731,33887237889,Broa de Açúcar,banana
11872,30621866822,Plus,uva
12635,36682522894,Mes,maçã
41156,31795880805,Plus,banana
18940,37660353802,Mes,banana
76057,37880918868,Broa de Açúcar,pera
87805,38886668805,Broa de Açúcar,uva
95919,33446371850,Plus,maçã
9875,32206448807,Mes,uva
15731,33887237889,Broa de Açúcar,banana
21258,30749427892,Mes,maçã
94579,35094486853,Plus,uva
6347,30498059863,Broa de Açúcar,banana
83055,33463222892,Mes,pera
89184,34414924804,Broa de Açúcar,banana
8801,33325664822,Plus,banana
3290,36734187853,Broa de Açúcar,maçã
12635,36682522894,Broa de Açúcar,maçã
89055,30932083862,Broa de Açúcar,maçã
67909,30462465870,Plus,banana
79460,36021575806,Plus,banana
70758,35378086825,Broa de Açúcar,banana
69584,31366147804,Plus,pera
78147,33576161813,Plus,maçã
78592,37891988897,Broa de Açúcar,uva
44377,34245454814,Mes,maçã
2870,31966594887,Plus,banana
95846,31695687876,Plus,uva
93885,38766987822,Broa de Açúcar,uva
57588,38232115874,Plus,uva
79387,33717499831,Plus,uva
34986,31756562857,Broa de Açúcar,banana
92148,38023461818,Broa de Açúcar,maçã
92369,31620324822,Mes,pera
67883,37049136859,Broa de Açúcar,pera
49191,37083083878,Plus,maçã
78761,39375061876,Broa de Açúcar,banana
43118,30955837880,Mes,banana
14810,32836494808,Broa de Açúcar,uva
23646,37483373881,Mes,maçã
2687,30966062850,Broa de Açúcar,pera
35085,38452940866,Mes,maçã
30404,38118937852,Broa de Açúcar,banana
13161,32162287897,Mes,uva
3334,36335825848,Plus,uva
76057,37880918868,Plus,banana
30988,36062870896,Broa de Açúcar,banana
69189,38981208808,Mes,pera
90603,38922839821,Mes,maçã
58335,30892507802,Broa de Açúcar,uva
87805,38886668805,Broa de Açúcar,pera
36413,30769095844,Broa de Açúcar,pera
83055,33463222892,Mes,pera
1736,34066997821,Mes,uva
8801,33325664822,Mes,pera
94579,35094486853,Broa de Açúcar,uva
18946,37211459840,Broa de Açúcar,maçã
70758,35378086825,Broa de Açúcar,uva
97169,39878222870,Broa de Açúcar,uva
21207,37506226804,Plus,banana
92893,33793904881,Mes,maçã
80876,30061162833,Mes,uva
2870,31966594887,Mes,uva
63967,34608848860,Mes,maçã
16158,32294129822,Plus,maçã
67883,37049136859,Mes,pera
74751,31037015860,Broa de Açúcar,pera
41998,32447851820,Broa de Açúcar,banana
58292,36094762819,Broa de Açúcar,banana
15731,33887237889,Broa de Açúcar,banana
40203,30673452824,Mes,uva
81896,38686654800,Broa de Açúcar,uva
1453,32698896825,Mes,uva
84980,31914314891,Plus,pera
98107,31797190873,Mes,pera
86568,31867812800,Broa de Açúcar,pera
