,cpf,nome,produto,preco
32807,31939883830,Broa de Açúcar,banana,1
70302,37192080870,Broa de Açúcar,uva,7
92834,31242340815,Mes,pera,3
66,30721762808,Broa de Açúcar,banana,1
79815,38020401806,Mes,banana,1
72133,39299698821,Plus,maçã,2
26741,34265854800,Mes,banana,1
7675,36870766878,Plus,banana,1
32807,31939883830,Plus,pera,3
60244,38825970897,Broa de Açúcar,maçã,2
43460,32384370898,Mes,uva,7
30451,35032984876,Plus,banana,1
31830,31833478819,Broa de Açúcar,banana,1
11989,39401368830,Plus,pera,3
73511,38807260867,Broa de Açúcar,uva,7
16948,35496603838,Broa de Açúcar,maçã,2
23497,39240391860,Mes,uva,7
80975,32766185836,Mes,pera,3
43384,39321169849,Broa de Açúcar,uva,7
55524,37832513896,Broa de Açúcar,banana,1
72133,39299698821,Broa de Açúcar,banana,1
88709,38643677868,Broa de Açúcar,pera,3
11060,35628153877,Plus,banana,1
8551,32194543805,Broa de Açúcar,uva,7
89857,38853118873,Plus,banana,1
610,33948247870,Mes,maçã,2
72864,34138618830,Plus,pera,3
64248,36158702803,Broa de Açúcar,pera,3
22553,37594575849,Plus,maçã,2
48911,34418212892,Plus,banana,1
90620,39519577866,Broa de Açúcar,banana,1
15703,31135265828,Broa de Açúcar,banana,1
30451,35032984876,Mes,uva,7
27807,38906114869,Mes,maçã,2
46253,39243896830,Mes,maçã,2
8551,32194543805,Broa de Açúcar,uva,7
78202,32557890871,Mes,maçã,2
69926,38162371850,Plus,maçã,2
31952,37340719849,Mes,maçã,2
27807,38906114869,Plus,pera,3
94387,33968186877,Plus,pera,3
3979,35797992825,Mes,banana,1
49994,38789240898,Mes,maçã,2
82947,37554778820,Mes,banana,1
84672,30428129870,Mes,banana,1
92834,31242340815,Plus,maçã,2
89809,38085196816,Broa de Açúcar,uva,7
97324,38412448820,Mes,uva,7
92149,32994374889,Mes,uva,7
27807,38906114869,Broa de Açúcar,maçã,2
2769,31210426889,Plus,maçã,2
22857,36769458837,Broa de Açúcar,pera,3
94327,38605930802,Broa de Açúcar,uva,7
22166,38824903819,Plus,maçã,2
100581,32075237816,Plus,pera,3
82947,37554778820,Plus,banana,1
48911,34418212892,Mes,maçã,2
36729,35505011888,Broa de Açúcar,pera,3
72133,39299698821,Mes,maçã,2
21521,30440560802,Broa de Açúcar,banana,1
90145,39114690802,Mes,maçã,2
36729,35505011888,Broa de Açúcar,pera,3
89857,38853118873,Broa de Açúcar,maçã,2
30379,37353484837,Plus,banana,1
81230,39228065893,Mes,maçã,2
1145,38389990881,Broa de Açúcar,uva,7
45806,30888909802,Plus,banana,1
42659,32543861831,Broa de Açúcar,pera,3
66265,32159874817,Broa de Açúcar,banana,1
83478,32514000882,Mes,banana,1
72394,32479421813,Broa de Açúcar,banana,1
68973,33454729882,Mes,maçã,2
61929,38069387840,Broa de Açúcar,banana,1
51536,32793703885,Broa de Açúcar,banana,1
43858,30753498871,Broa de Açúcar,banana,1
44002,34377246810,Mes,pera,3
94387,33968186877,Broa de Açúcar,maçã,2
51476,31004054807,Mes,maçã,2
22562,31291469893,Mes,uva,7
8329,39143983880,Broa de Açúcar,uva,7
46253,39243896830,Plus,banana,1
69255,36883156852,Mes,uva,7
96871,30666502862,Plus,banana,1
89857,38853118873,Plus,pera,3
80109,38647585801,Broa de Açúcar,uva,7
31952,37340719849,Broa de Açúcar,banana,1
66055,31659044804,Broa de Açúcar,maçã,2
3487,34670036807,Broa de Açúcar,maçã,2
31153,39385102850,Plus,maçã,2
3487,34670036807,Plus,pera,3
74390,33599124892,Plus,uva,7
97947,33719119858,Broa de Açúcar,banana,1
12949,31781804869,Broa de Açúcar,pera,3
98435,31612130844,Mes,pera,3
22562,31291469893,Broa de Açúcar,banana,1
7675,36870766878,Plus,pera,3
12232,39621128803,Plus,uva,7
62945,38946050810,Mes,maçã,2
22562,31291469893,Plus,pera,3
51476,31004054807,Broa de Açúcar,maçã,2
32807,31939883830,Plus,pera,3
61929,38069387840,Plus,pera,3
16948,35496603838,Mes,pera,3
89857,38853118873,Mes,banana,1
11989,39401368830,Mes,banana,1
20357,37624326868,Broa de Açúcar,pera,3
81230,39228065893,Broa de Açúcar,pera,3
3678,36762255892,Mes,banana,1
45206,37024055855,Plus,uva,7
96871,30666502862,Plus,uva,7
97947,33719119858,Broa de Açúcar,pera,3
36255,31367966833,Broa de Açúcar,banana,1
66265,32159874817,Broa de Açúcar,pera,3
5756,38093998845,Plus,pera,3
8551,32194543805,Mes,uva,7
40679,35109798850,Plus,banana,1
37442,38983313854,Mes,pera,3
79989,38494124820,Mes,uva,7
42823,31642889806,Broa de Açúcar,maçã,2
36255,31367966833,Plus,banana,1
46824,36958614879,Broa de Açúcar,uva,7
18283,30546192815,Broa de Açúcar,maçã,2
43858,30753498871,Plus,pera,3
30379,37353484837,Mes,pera,3
72864,34138618830,Broa de Açúcar,uva,7
66265,32159874817,Mes,banana,1
66265,32159874817,Plus,banana,1
45090,31634197801,Plus,maçã,2
92149,32994374889,Broa de Açúcar,pera,3
92149,32994374889,Mes,banana,1
4684,33110482886,Mes,pera,3
23303,32112812823,Plus,pera,3
55886,30959832807,Mes,pera,3
74390,33599124892,Mes,pera,3
45206,37024055855,Mes,maçã,2
3487,34670036807,Plus,banana,1
56544,35358298878,Mes,uva,7
92149,32994374889,Mes,uva,7
610,33948247870,Broa de Açúcar,maçã,2
97947,33719119858,Mes,maçã,2
90259,39430756800,Mes,pera,3
82947,37554778820,Broa de Açúcar,uva,7
36706,34598325844,Plus,maçã,2
93167,32911432800,Mes,uva,7
31952,37340719849,Broa de Açúcar,uva,7
52663,37120609807,Broa de Açúcar,uva,7
84672,30428129870,Broa de Açúcar,maçã,2
369,30375057889,Plus,uva,7
48911,34418212892,Mes,banana,1
43858,30753498871,Mes,maçã,2
99276,34969741840,Broa de Açúcar,uva,7
97296,35079462892,Plus,uva,7
99276,34969741840,Broa de Açúcar,pera,3
21327,35722129879,Plus,uva,7
26328,35643616858,Mes,banana,1
22562,31291469893,Plus,banana,1
83315,31458786897,Broa de Açúcar,maçã,2
70480,34558208839,Plus,uva,7
97296,35079462892,Broa de Açúcar,pera,3
76490,37396358868,Broa de Açúcar,banana,1
80005,32938248890,Mes,uva,7
9969,36355203818,Mes,banana,1
23530,37924765840,Plus,uva,7
70418,32245435826,Mes,uva,7
3979,35797992825,Broa de Açúcar,banana,1
84672,30428129870,Broa de Açúcar,pera,3
70418,32245435826,Mes,pera,3
31830,31833478819,Plus,pera,3
94387,33968186877,Mes,pera,3
70914,35470736857,Broa de Açúcar,uva,7
79302,31541266862,Plus,uva,7
3979,35797992825,Plus,maçã,2
61929,38069387840,Mes,banana,1
34255,38246362801,Broa de Açúcar,pera,3
97559,35381822804,Broa de Açúcar,pera,3
11989,39401368830,Broa de Açúcar,banana,1
90216,30045741875,Broa de Açúcar,pera,3
3979,35797992825,Plus,maçã,2
79302,31541266862,Plus,banana,1
82947,37554778820,Broa de Açúcar,banana,1
27285,30683083805,Mes,maçã,2
87806,30060398825,Broa de Açúcar,maçã,2
87806,30060398825,Broa de Açúcar,banana,1
42217,34599666882,Plus,uva,7
4684,33110482886,Broa de Açúcar,uva,7
96,32118142803,Mes,banana,1
38387,36527494807,Broa de Açúcar,pera,3
37442,38983313854,Broa de Açúcar,uva,7
90216,30045741875,Mes,pera,3
31830,31833478819,Plus,uva,7
52232,39956187828,Broa de Açúcar,uva,7
26487,31793921857,Plus,banana,1
92834,31242340815,Broa de Açúcar,pera,3
31794,32512837823,Broa de Açúcar,pera,3
79302,31541266862,Mes,uva,7
44002,34377246810,Broa de Açúcar,banana,1
26487,31793921857,Broa de Açúcar,uva,7
62439,35938168813,Broa de Açúcar,pera,3
3979,35797992825,Mes,pera,3
24243,35233640864,Plus,uva,7
7675,36870766878,Broa de Açúcar,maçã,2
83364,34046125829,Plus,maçã,2
21327,35722129879,Plus,uva,7
66651,31563287820,Mes,banana,1
2346,38903395816,Plus,pera,3
92407,30929873815,Broa de Açúcar,maçã,2
80109,38647585801,Plus,maçã,2
46408,37773214867,Plus,pera,3
37530,39655543870,Mes,uva,7
42217,34599666882,Broa de Açúcar,banana,1
45090,31634197801,Broa de Açúcar,maçã,2
17161,30074887882,Plus,maçã,2
73511,38807260867,Broa de Açúcar,uva,7
11789,31249581877,Broa de Açúcar,uva,7
23530,37924765840,Plus,banana,1
26487,31793921857,Plus,maçã,2
8329,39143983880,Plus,uva,7
796,39060435842,Broa de Açúcar,uva,7
90259,39430756800,Broa de Açúcar,banana,1
8551,32194543805,Mes,uva,7
11060,35628153877,Plus,pera,3
24243,35233640864,Plus,maçã,2
40679,35109798850,Mes,banana,1
36706,34598325844,Mes,pera,3
8329,39143983880,Mes,maçã,2
70480,34558208839,Broa de Açúcar,pera,3
44044,31091226857,Mes,banana,1
2860,39841469812,Broa de Açúcar,banana,1
100276,30318527880,Broa de Açúcar,uva,7
13120,31289694850,Plus,uva,7
69255,36883156852,Mes,uva,7
93167,32911432800,Plus,uva,7
22857,36769458837,Broa de Açúcar,maçã,2
21327,35722129879,Plus,pera,3
42217,34599666882,Broa de Açúcar,pera,3
796,39060435842,Mes,maçã,2
80975,32766185836,Mes,banana,1
11221,30298992841,Plus,uva,7
2346,38903395816,Broa de Açúcar,pera,3
40679,35109798850,Mes,uva,7
91433,34128659827,Broa de Açúcar,maçã,2
83364,34046125829,Mes,maçã,2
17166,31564113884,Broa de Açúcar,pera,3
77376,31708557865,Plus,maçã,2
8551,32194543805,Broa de Açúcar,uva,7
20357,37624326868,Plus,pera,3
66651,31563287820,Plus,banana,1
64248,36158702803,Broa de Açúcar,banana,1
90145,39114690802,Broa de Açúcar,maçã,2
81230,39228065893,Plus,uva,7
42217,34599666882,Broa de Açúcar,pera,3
90524,37706842819,Broa de Açúcar,banana,1
11257,35177132870,Broa de Açúcar,banana,1
23530,37924765840,Mes,maçã,2
21327,35722129879,Mes,uva,7
44044,31091226857,Broa de Açúcar,pera,3
70418,32245435826,Mes,banana,1
1145,38389990881,Broa de Açúcar,uva,7
90216,30045741875,Broa de Açúcar,pera,3
27285,30683083805,Broa de Açúcar,pera,3
56277,38069818840,Broa de Açúcar,uva,7
99276,34969741840,Plus,uva,7
22166,38824903819,Plus,pera,3
68587,32282919874,Mes,uva,7
55524,37832513896,Broa de Açúcar,uva,7
11789,31249581877,Plus,maçã,2
79989,38494124820,Broa de Açúcar,maçã,2
92834,31242340815,Broa de Açúcar,pera,3
89409,30647186810,Broa de Açúcar,pera,3
89809,38085196816,Mes,banana,1
54321,32468502833,Plus,uva,7
82947,37554778820,Broa de Açúcar,uva,7
8329,39143983880,Mes,uva,7
89809,38085196816,Broa de Açúcar,maçã,2
2860,39841469812,Mes,maçã,2
36706,34598325844,Mes,uva,7
12949,31781804869,Mes,pera,3
31830,31833478819,Mes,pera,3
64869,34676829876,Broa de Açúcar,pera,3
46253,39243896830,Broa de Açúcar,maçã,2
51476,31004054807,Mes,uva,7
60244,38825970897,Plus,pera,3
43858,30753498871,Mes,pera,3
37442,38983313854,Mes,pera,3
42472,39947252833,Broa de Açúcar,pera,3
4684,33110482886,Plus,banana,1
45806,30888909802,Plus,maçã,2
26741,34265854800,Broa de Açúcar,banana,1
24483,32477452894,Broa de Açúcar,maçã,2
50385,34177725838,Plus,pera,3
64869,34676829876,Broa de Açúcar,pera,3
52232,39956187828,Mes,pera,3
31794,32512837823,Plus,banana,1
83478,32514000882,Broa de Açúcar,maçã,2
68973,33454729882,Plus,pera,3
34255,38246362801,Broa de Açúcar,maçã,2
44002,34377246810,Plus,pera,3
64903,36507267856,Plus,pera,3
34853,39479641887,Broa de Açúcar,banana,1
72864,34138618830,Mes,banana,1
37442,38983313854,Broa de Açúcar,uva,7
37530,39655543870,Broa de Açúcar,uva,7
42472,39947252833,Plus,uva,7
610,33948247870,Plus,banana,1
720,35607912868,Mes,uva,7
22166,38824903819,Broa de Açúcar,banana,1
100581,32075237816,Mes,banana,1
36729,35505011888,Broa de Açúcar,pera,3
27285,30683083805,Plus,uva,7
89573,31419452843,Broa de Açúcar,banana,1
37530,39655543870,Plus,pera,3
17166,31564113884,Mes,banana,1
42659,32543861831,Plus,uva,7
2792,31788024877,Mes,pera,3
43858,30753498871,Broa de Açúcar,banana,1
43460,32384370898,Broa de Açúcar,pera,3
88709,38643677868,Broa de Açúcar,pera,3
94327,38605930802,Plus,maçã,2
45806,30888909802,Broa de Açúcar,maçã,2
80975,32766185836,Mes,maçã,2
29759,31464506825,Broa de Açúcar,maçã,2
54321,32468502833,Broa de Açúcar,pera,3
74390,33599124892,Broa de Açúcar,pera,3
37978,35618351803,Plus,banana,1
3487,34670036807,Mes,banana,1
92834,31242340815,Broa de Açúcar,pera,3
23617,38937032848,Mes,pera,3
31794,32512837823,Broa de Açúcar,banana,1
70418,32245435826,Broa de Açúcar,banana,1
44030,30263685802,Plus,uva,7
37978,35618351803,Broa de Açúcar,pera,3
61929,38069387840,Broa de Açúcar,pera,3
32604,32853338800,Broa de Açúcar,pera,3
14846,31490602810,Mes,banana,1
46824,36958614879,Plus,uva,7
24483,32477452894,Broa de Açúcar,maçã,2
93135,38779238874,Broa de Açúcar,uva,7
66,30721762808,Plus,maçã,2
66,30721762808,Mes,maçã,2
88339,36488723898,Mes,maçã,2
12232,39621128803,Broa de Açúcar,uva,7
68973,33454729882,Broa de Açúcar,maçã,2
23303,32112812823,Plus,banana,1
52663,37120609807,Broa de Açúcar,maçã,2
96504,33916455800,Plus,maçã,2
24483,32477452894,Mes,pera,3
26741,34265854800,Broa de Açúcar,maçã,2
90216,30045741875,Mes,uva,7
2346,38903395816,Mes,pera,3
6626,39183777849,Plus,uva,7
61929,38069387840,Broa de Açúcar,banana,1
24483,32477452894,Mes,pera,3
80975,32766185836,Plus,uva,7
55524,37832513896,Broa de Açúcar,banana,1
25823,32395134805,Mes,banana,1
1145,38389990881,Mes,maçã,2
97324,38412448820,Broa de Açúcar,pera,3
100276,30318527880,Broa de Açúcar,maçã,2
31153,39385102850,Plus,uva,7
2346,38903395816,Plus,banana,1
99276,34969741840,Mes,banana,1
89409,30647186810,Plus,uva,7
94387,33968186877,Plus,maçã,2
22857,36769458837,Plus,pera,3
8329,39143983880,Broa de Açúcar,banana,1
1013,36222192890,Mes,maçã,2
89857,38853118873,Plus,uva,7
44988,39625356835,Mes,uva,7
31228,31343837804,Mes,banana,1
97559,35381822804,Plus,banana,1
92834,31242340815,Plus,uva,7
29759,31464506825,Broa de Açúcar,maçã,2
23303,32112812823,Mes,pera,3
8551,32194543805,Mes,maçã,2
42472,39947252833,Broa de Açúcar,uva,7
369,30375057889,Mes,banana,1
37530,39655543870,Broa de Açúcar,banana,1
55524,37832513896,Plus,maçã,2
31796,35159472800,Broa de Açúcar,maçã,2
80109,38647585801,Broa de Açúcar,uva,7
91433,34128659827,Broa de Açúcar,uva,7
55886,30959832807,Plus,uva,7
50385,34177725838,Broa de Açúcar,pera,3
27807,38906114869,Plus,maçã,2
90259,39430756800,Plus,maçã,2
80005,32938248890,Mes,pera,3
22553,37594575849,Mes,maçã,2
82897,31851754849,Plus,pera,3
52663,37120609807,Mes,uva,7
90524,37706842819,Broa de Açúcar,maçã,2
94387,33968186877,Broa de Açúcar,uva,7
84672,30428129870,Plus,maçã,2
94327,38605930802,Mes,uva,7
50367,39622445810,Mes,maçã,2
51476,31004054807,Mes,uva,7
58140,38251349893,Broa de Açúcar,maçã,2
80005,32938248890,Mes,uva,7
93135,38779238874,Mes,uva,7
16948,35496603838,Broa de Açúcar,pera,3
27285,30683083805,Broa de Açúcar,uva,7
80975,32766185836,Mes,maçã,2
31794,32512837823,Plus,banana,1
79914,34029758827,Broa de Açúcar,maçã,2
84672,30428129870,Plus,uva,7
60244,38825970897,Mes,uva,7
5804,35681744809,Mes,maçã,2
93687,31032657863,Broa de Açúcar,uva,7
71984,36982435806,Plus,maçã,2
81262,32364083834,Mes,uva,7
70480,34558208839,Mes,uva,7
1013,36222192890,Plus,banana,1
89857,38853118873,Broa de Açúcar,banana,1
81230,39228065893,Mes,uva,7
34853,39479641887,Broa de Açúcar,banana,1
26851,34237889840,Mes,maçã,2
369,30375057889,Plus,banana,1
89809,38085196816,Broa de Açúcar,uva,7
90216,30045741875,Broa de Açúcar,banana,1
92407,30929873815,Broa de Açúcar,maçã,2
64869,34676829876,Broa de Açúcar,pera,3
93135,38779238874,Broa de Açúcar,uva,7
72133,39299698821,Plus,maçã,2
720,35607912868,Plus,banana,1
87908,30937094820,Plus,maçã,2
64248,36158702803,Mes,uva,7
18283,30546192815,Plus,banana,1
22553,37594575849,Plus,uva,7
81230,39228065893,Mes,maçã,2
11060,35628153877,Plus,banana,1
22166,38824903819,Mes,maçã,2
83426,39767917845,Broa de Açúcar,uva,7
83364,34046125829,Plus,banana,1
89409,30647186810,Broa de Açúcar,banana,1
11789,31249581877,Broa de Açúcar,pera,3
56044,34110615887,Broa de Açúcar,maçã,2
92834,31242340815,Broa de Açúcar,pera,3
38387,36527494807,Mes,maçã,2
32604,32853338800,Plus,pera,3
47404,38172129840,Broa de Açúcar,banana,1
29812,32124328883,Mes,pera,3
96871,30666502862,Broa de Açúcar,pera,3
48760,36028999857,Plus,banana,1
90524,37706842819,Mes,uva,7
27807,38906114869,Broa de Açúcar,banana,1
66,30721762808,Broa de Açúcar,pera,3
8329,39143983880,Broa de Açúcar,maçã,2
48760,36028999857,Broa de Açúcar,banana,1
83426,39767917845,Mes,banana,1
44002,34377246810,Mes,banana,1
34255,38246362801,Broa de Açúcar,maçã,2
32604,32853338800,Mes,pera,3
30379,37353484837,Plus,maçã,2
42217,34599666882,Plus,maçã,2
30451,35032984876,Plus,pera,3
43384,39321169849,Mes,maçã,2
51536,32793703885,Mes,banana,1
62945,38946050810,Mes,banana,1
83364,34046125829,Mes,pera,3
100581,32075237816,Plus,maçã,2
45806,30888909802,Plus,banana,1
11257,35177132870,Mes,uva,7
31228,31343837804,Broa de Açúcar,maçã,2
13084,32411159846,Plus,maçã,2
12232,39621128803,Plus,uva,7
90524,37706842819,Broa de Açúcar,banana,1
55886,30959832807,Plus,banana,1
30379,37353484837,Broa de Açúcar,pera,3
93135,38779238874,Plus,maçã,2
48879,33635232890,Plus,banana,1
11989,39401368830,Plus,pera,3
23617,38937032848,Mes,uva,7
70914,35470736857,Mes,banana,1
46408,37773214867,Plus,uva,7
11789,31249581877,Broa de Açúcar,banana,1
40679,35109798850,Broa de Açúcar,uva,7
70480,34558208839,Plus,maçã,2
37442,38983313854,Broa de Açúcar,maçã,2
78202,32557890871,Plus,maçã,2
56277,38069818840,Mes,uva,7
89809,38085196816,Broa de Açúcar,uva,7
71984,36982435806,Plus,banana,1
796,39060435842,Plus,uva,7
71984,36982435806,Mes,uva,7
44030,30263685802,Plus,banana,1
45206,37024055855,Broa de Açúcar,maçã,2
8551,32194543805,Broa de Açúcar,pera,3
36729,35505011888,Mes,banana,1
97324,38412448820,Mes,pera,3
54321,32468502833,Broa de Açúcar,pera,3
42217,34599666882,Mes,maçã,2
37978,35618351803,Broa de Açúcar,maçã,2
